Name,Type,Country
10.5 cm FlaK 38  ,Anti-Aircraft Gun  ,Germany  
10.5 cm Geb H 40  ,Field Gun  ,Germany  
10.5 cm hrubý kanon vz. 35  ,Field Gun  ,Czechoslovakia  
10.5 cm Kanone 17  ,Field Gun  ,Germany  
10.5 cm leFH 16  ,Field Gun  ,Germany  
10.5 cm leFH 18  ,Field Gun  ,Germany  
10.5 cm Leichtgeschütz 40  ,Recoilless Gun  ,Germany  
10.5 cm Leichtgeschütz 42  ,Recoilless Gun  ,Germany  
10.5 cm sK 18  ,Field Gun  ,Germany  
10.5 cm SK L/60  ,Coastal Defense Gun  ,Germany  
102 mm Mod 38  ,Anti-Aircraft Gun  ,Italy  
105 mm Howitzer M3  ,Field Gun  ,United States  
105 mm M3  ,Anti-Aircraft Gun  ,United States  
105 mm Mod 42  ,Field Gun  ,Italy  
107-PM-38  ,Launcher  ,Russia  
12 cm Granatwerfer 42  ,Launcher  ,Germany  
12 in Gun M1917  ,Coastal Defense Gun  ,United States  
12 in Mor M1912  ,Coastal Defense Gun  ,United States  
12.8 cm FlaK 40  ,Anti-Aircraft Gun  ,Germany  
120 mm Gun M1  ,Anti-Aircraft Gun  ,United States  
120-PM-38  ,Launcher  ,Russia  
120-PM-43  ,Launcher  ,Russia  
122 mm Corps Gun M1931/37 (A-19)  ,Field Gun  ,Russia  
122 mm Howitzer M1909/37  ,Field Gun  ,Russia  
122 mm Howitzer M1910/30  ,Field Gun  ,Russia  
122 mm Howitzer M1938 (M-30)  ,Field Gun  ,Russia  
14 in M1910  ,Coastal Defense Gun  ,United States  
149 mm How Mod 20  ,Field Gun  ,Italy  
15 cm Kanone 18  ,Field Gun  ,Germany  
15 cm Kanone in Eisenbahnlafette  ,Railway Gun  ,Germany  
15 cm NbW 41  ,Launcher  ,Germany  
15 cm schwere Feldhaubitze 13  ,Field Gun  ,Germany  
15 cm schwere Feldhaubitze 18  ,Field Gun  ,Germany  
15 cm schweres Infanterie Geschütz 33  ,Field Gun  ,Germany  
15 cm SK C/28  ,Coastal Defense Gun  ,Germany  
15 cm Tbts C/36  ,Coastal Defense Gun  ,Germany  
152 mm Gun M1935 (Br-2)  ,Field Gun  ,Russia  
152 mm Howitzer M1938 (M-10)  ,Field Gun  ,Russia  
155 mm GPF  ,Field Gun  ,France  
155 mm Gun M1  ,Field Gun  ,United States  
155 mm Howitzer M1  ,Field Gun  ,United States  
16 in M1919  ,Coastal Defense Gun  ,United States  
160 mm M1943  ,Launcher  ,Russia  
17 cm Kanone 18  ,Field Gun  ,Germany  
17 cm SK L/40  ,Coastal Defense Gun  ,Germany  
2 cm Flugabwehrkanone/Gebirgsflak/Flakvierling 38  ,Anti-Aircraft Gun  ,Germany  
2.8 cm schwere Panzerbüchse 41  ,Anti-Tank Gun  ,Germany  
20 mm AA Machine Cannon M/38  ,Field Gun  ,Denmark  
20 mm M2 Hispano  ,Aircraft Autocannon  ,United States  
20 mm MG-FF Oerlikon  ,Aircraft Autocannon  ,Germany  
20 mm Oerlikon  ,Anti-Aircraft Gun  ,Switzerland  
20 mm S5-106  ,Anti-Aircraft Gun  ,Switzerland  
203 mm Howitzer M1931 (B-4)  ,Field Gun  ,Russia  
21 cm K 12 (E)  ,Railway Gun  ,Germany  
21 cm Kanone 38  ,Field Gun  ,Germany  
21 cm Mrs 18  ,Field Gun  ,Germany  
210 mm Gun M1939  ,Field Gun  ,Russia  
210 mm Mod 35  ,Field Gun  ,Italy  
24 cm K 3  ,Field Gun  ,Germany  
24 cm Schnelladekanone Theodor Karl  ,Railway Gun  ,Germany  
240 mm Howitzer M1  ,Field Gun  ,United States  
25 mm Hotchkiss  ,Anti-Aircraft Gun  ,France  
28 cm K5 (E)  ,Railway Gun  ,Germany  
28 cm schwere Bruno Kanone (E)  ,Railway Gun  ,Germany  
